strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
010100011403,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011404,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011507,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011508,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100012601,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100012603,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100012604,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100012605,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100012607,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100012608,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100012701,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100012702,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100012803,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020101,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020102,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020103,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020104,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020105,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020201,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020202,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020203,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020204,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020301,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020302,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020303,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020304,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020305,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020306,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020307,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020308,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020401,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020402,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020403,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020404,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020405,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020406,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020501,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020502,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020503,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020504,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020505,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020601,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020602,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020701,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020702,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020703,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020704,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020705,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020706,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020707,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020708,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020709,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020710,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020711,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030101,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030102,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030103,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030104,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030105,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030201,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030202,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030203,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030204,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030205,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030206,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030207,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030301,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030302,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030303,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030304,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030305,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030306,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030307,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030308,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030309,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030310,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030401,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030402,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030403,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040101,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040102,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040103,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040104,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040201,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040202,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040203,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040301,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040302,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040303,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040304,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040305,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040306,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040401,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040402,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040501,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040502,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040503,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040504,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040505,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040506,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040601,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040602,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040603,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040604,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040605,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040606,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040701,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040702,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040703,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040801,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040802,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040803,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040804,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040805,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040901,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040902,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040903,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040904,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040905,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040906,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040907,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040908,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040909,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041001,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041002,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041003,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041004,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041005,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041006,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041007,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041008,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041009,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041101,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041102,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041103,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041104,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041105,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041106,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041107,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041108,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041109,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041110,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041111,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041112,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041113,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041114,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050101,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050102,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050103,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050104,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050105,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050106,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050107,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050201,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050202,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050301,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050302,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050303,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050401,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050402,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050403,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050404,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
