strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
010100011308,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011309,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011403,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011404,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011507,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011508,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100012601,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100012603,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100012604,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100012605,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100012607,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100012608,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100012701,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100012702,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100012803,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020101,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020102,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020103,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020104,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020105,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020201,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020202,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020203,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020204,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020301,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020302,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020303,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020304,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020305,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020306,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020307,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020308,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020401,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020402,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020403,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020404,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020405,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020406,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020501,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020502,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020503,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020504,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020505,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020601,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020602,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020701,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020702,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020703,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020704,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020705,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020706,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020707,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020708,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020709,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020710,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020711,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030101,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030102,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030103,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030104,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030105,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030201,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030202,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030203,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030204,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030205,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030206,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030207,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030301,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030302,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030303,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030304,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030305,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030306,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030307,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030308,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030309,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030310,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030401,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030402,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030403,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040101,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040102,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040103,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040104,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040201,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040202,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040203,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040301,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
